Diana Korbelová (*1996),actress,,CZ
,,,
"Veli-Pekka Lehto (*May 7, 1948)",actor,,FI
,,,
"Orvo Piirto (*May 7, 1926)",actor,,FI
,,,
"So Hee Yoon (*May 7, 1993)",actress,,KR
,,,
"Osvaldo Dragún (*May 7, 1929)","writer, actor, scriptwriter",,AR
,,,
"So-min Jeon (*May 7, 1986)",actress,,KR
,,,
"Kevin O'Connor (*May 7, 1938)",actor,,US
,,,
"Selmer Jackson (*May 7, 1888)",,,US
,,,
"Antonio Roux (*May 7, 1901)",actor,,MX
,,,
"Colin Tapley (*May 7, 1907)",actor,,NZ
,,,
Wlodzimierz Skoczylas,actor,,PL
"(*May 7, 1923)",,,
,,,
"Val Bisoglio (*May 7, 1926)",actor,,US
,,,
"Lech Grzmocinski (*May 7, 1927)",actor,,PL
,,,
"Bogumil Antczak (*May 7, 1938)",actor,,XX
,,,
"Francisco Di Franco (*May 7, 1938)",actor,,XX
,,,
"Lee de Broux (*May 7, 1941)",actor,,XX
,,,
"J. D. Hall (*May 7, 1947)","actor, voice actor",,US
,,,
"Andrzej Wojaczek (*May 7, 1947)",actor,,PL
,,,
"Mariann Aalda (*May 7, 1948)",actress,,US
,,,
"Robert Hegyes (*May 7, 1951)",actor,,US
,,,
Jana Matysová (*1952),singer,,CZ
,,,
"Jordan Lund (*May 7, 1957)",actor,,US
,,,
"Almudena Grandes (*May 7, 1960)",actress,,ES
,,,
"Uta Prelle (*May 7, 1963)",actress,,DE
,,,
"Eagle-Eye Cherry (*May 7, 1968)",singer,,SE
,,,
"Pawel Audykowski (*May 7, 1971)",actor,,PL
,,,
"Equis Alfonso (*May 7, 1972)","composer, bassist, singer, artist",,CU
,,,
"Frank Trigg (*May 7, 1972)",actor,,US
,,,
"Fernando Lima (*May 7, 1975)",singer,,AR
,,,
"Tommy Guiffre (*May 7, 1975)",actor,,US
,,,
"Shawn Marion (*May 7, 1978)",basketball player,,US
,,,
"Zara Sheikh (*May 7, 1978)",actress,,PK
,,,
Lucie Robinson (*1979),"model, photographer",,CZ
,,,
Soffia Gently (*1979),actress,,CE
,,,
"Michael Coristine (*May 7, 1980)",actor,,CA
,,,
"Kate Lawler (*May 7, 1980)",actress,,GB
,,,
Martin Urválek (*1980),actor,,CZ
,,,
"Eddie Davenport (*May 7, 1981)","actor, stuntman",,US
,,,
Stacy Silver (*1981),"actress, director, porn actress",,CZ
,,,
Katka Brzobohatá (*1982),singer,,CZ
,,,
"Sha (*May 7, 1983)",singer,,DE
,,,
"Ria Vandervis (*May 7, 1984)",actress,,NZ
,,,
"Jan Kinšt (*May 7, 1985)","guitarist, singer",,XX
,,,
"Virginee (*May 7, 1986)",actress,,HU
,,,
,,,
"Mhairi Calvey (*May 7, 1988)",actress,,GB
,,,
"Arlenis Sosa (*May 7, 1989)",model,,DO
,,,
Tereza Bartoňová (*1991),model,,CZ
,,,
Tereza Vorbová (*1997),singer,,CZ
,,,
"Destiny Whitlock (*May 7, 2001)",actress,,US
,,,
"Viola Armstrong (*May 7, 1907)",,,US
,,,
"Sylvain Augier (*May 7, 1955)",journalist,,FR
,,,
"Tony Auth (*May 7, 1942)",cartoonist,,US
,,,
"Yves Bescond (*May 7, 1924)",,,FR
,,,
"Marjorie Boulton (*May 7, 1924)",writer,,GB
,,,
